college,draft_team,draft_year
University of Kentucky,Milwaukee Bucks,2009
Syracuse University,Minnesota Timberwolves,2009
University of Florida,Minnesota Timberwolves,2009
University of North Carolina,Minnesota Timberwolves,2009
University of North Carolina,Minnesota Timberwolves,2009
University of Louisville,New Jersey Nets,2009
"University of California, Los Angeles",New Orleans Hornets,2009
University of Arizona,New York Knicks,2009
Arizona State University,Oklahoma City Thunder,2009
"University of California, Los Angeles",Philadelphia 76ers,2009
University of Louisville,Phoenix Suns,2009
University of Oklahoma,Phoenix Suns,2009
Saint Mary's College of California,Portland Trail Blazers,2009
University of Washington,Portland Trail Blazers,2009
Villanova University,Portland Trail Blazers,2009
Arizona State University,Sacramento Kings,2009
University of Memphis,Sacramento Kings,2009
University of Pittsburgh,San Antonio Spurs,2009
University of Southern California,Toronto Raptors,2009
Virginia Commonwealth University,Utah Jazz,2009
University of Central Florida,Washington Wizards,2009
University of Texas at Austin,Atlanta Hawks,2010
University of Notre Dame,Boston Celtics,2010
University of Texas at Austin,Boston Celtics,2010
Florida State University,Dallas Mavericks,2010
Georgetown University,Detroit Pistons,2010
"University of Michigan, Baylor University",Golden State Warriors,2010
University of Kentucky,Houston Rockets,2010
"California State University, Fresno",Indiana Pacers,2010
Florida State University,Indiana Pacers,2010
University of Cincinnati,Indiana Pacers,2010
University of Oklahoma,Los Angeles Clippers,2010
Wake Forest University,Los Angeles Clippers,2010
"University of Louisville, University of Texas at El Paso",Los Angeles Lakers,2010
West Virginia University,Los Angeles Lakers,2010
University of Kansas,Memphis Grizzlies,2010
University of Maryland,Memphis Grizzlies,2010
University of South Florida,Memphis Grizzlies,2010
Mississippi State University,Miami Heat,2010
University of Texas at Austin,Miami Heat,2010
University of New Mexico,Milwaukee Bucks,2010
University of Tulsa,Milwaukee Bucks,2010
Virginia Commonwealth University,Milwaukee Bucks,2010
Clemson University,Minnesota Timberwolves,2010
"Iowa State University, Syracuse University",Minnesota Timberwolves,2010
Rutgers University,Minnesota Timberwolves,2010
"University of Nevada, Reno",Minnesota Timberwolves,2010
Georgia Institute of Technology,New Jersey Nets,2010
"Indiana University, Xavier University",New Jersey Nets,2010
University of Kansas,New Orleans Hornets,2010
Stanford University,New York Knicks,2010
Syracuse University,New York Knicks,2010
Iowa State University,Oklahoma City Thunder,2010
University of Kentucky,Oklahoma City Thunder,2010
University of Washington,Oklahoma City Thunder,2010
